Mês Ano,Órgão Superior,Órgão/Entidade Vinculada,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,,,,
nov/19,25988 - Ministério da Educação,26278 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,23.824.028,60,74.233.170,2,73.244.412,36,136.125,21
mai/18,25989 - Ministério da Educação,26279 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,8.190.705,59,27.065.163,47,28.005.502,60,14.409.448,55
set/18,25990 - Ministério da Educação,26280 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,117.457.745,18,67.488.170,29,67.471.927,78,10.886.466,85
ago/18,25991 - Ministério da Educação,26281 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,56.957.070,40,35.225.704,60,35.244.940,35,33.470.264,16
jul/18,25992 - Ministério da Educação,26282 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,26.948.951,0,47.206.515,1,47.543.243,5,9.556.231,94
fev/18,25993 - Ministério da Educação,26283 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,32.095.595,36,13.603.123,66,13.195.221,82,55.432.318,15
dez/18,25994 - Ministério da Educação,26284 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-2.156.988,84,271.979.724,47,266.168.346,66,5.720.780,86
out/18,25995 - Ministério da Educação,26285 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,-3.978.773,62,220.084.658,51,220.058.576,75,30.760.920,49
jan/18,25996 - Ministério da Educação,26286 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,214.576.779,78,7.192.265,4,7.192.265,4,10.517.606,59
mar/18,25997 - Ministério da Educação,26287 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,41.776.751,51,16.363.933,60,16.765.648,7,77.753.921,5
nov/18,25998 - Ministério da Educação,26288 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,11.537.228,63,119.299.308,86,119.272.847,32,74.391,66
jun/18,25999 - Ministério da Educação,26289 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,632.876.737,70,30.609.813,3,30.205.180,31,4.505.725,22
abr/18,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,7.666.792,90,22.731.125,45,21.754.544,57,54.598.784,11
abr/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,18.970.097,59,23.794.314,68,22.777.766,93,54.173.641,15
mai/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,17.354.697,68,21.905.369,10,22.935.345,57,15.997.850,34
ago/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,262.544.777,58,95.232.630,51,95.305.231,85,3.349.556,94
fev/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,73.163.428,49,16.166.914,4,16.127.197,46,187.784.274,15
nov/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,26.681.209,20,107.736.234,18,107.833.219,32,11.510.464,81
mar/17,26000 - Ministério da Educação,26290 - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,25.342.300,50,25.336.051,26,25.373.430,43,18.904.673,44
